,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
199507,    9.29,    4.10,    3.95,    4.03,    4.09,    4.29,    4.10,    3.45,    3.91,    4.16,    3.99,    4.12,    4.53,    4.27,    3.78,    2.70,    4.16,    3.78,    4.15
199508,    2.42,    0.24,    1.15,    3.73,    0.20,    0.75,    0.71,    2.85,    4.14,    0.55,   -0.28,    0.36,    1.32,    0.18,    1.69,    2.43,    3.25,    4.06,    4.30
199509,    1.77,    4.37,    2.93,    4.34,    4.97,    2.29,    2.98,    3.63,    4.66,    5.36,    4.40,    2.12,    2.54,    2.36,    4.11,    3.27,    3.96,    4.93,    4.17
199510,   -5.78,   -0.10,   -1.65,   -2.67,   -0.42,   -0.89,   -0.31,   -2.83,   -3.01,    0.42,   -1.62,    1.15,   -3.80,    0.23,   -1.29,   -3.43,   -2.29,   -3.20,   -2.65
199511,    3.23,    4.14,    4.47,    5.02,    4.84,    2.72,    4.54,    4.74,    4.74,    4.71,    5.01,    1.47,    4.58,    4.04,    5.48,    4.07,    5.35,    4.84,    4.56
199512,    0.45,    0.99,    2.44,    1.48,    0.98,    1.07,    3.39,    1.20,    1.45,    0.24,    2.04,    1.07,    1.07,    3.59,    3.03,    0.84,    1.53,    1.20,    1.92
199601,   -0.32,    2.87,    2.67,    2.73,    3.25,    2.13,    2.75,    2.24,    2.63,    3.01,    3.59,    1.29,    3.30,    2.78,    2.71,    1.55,    2.86,    2.69,    2.50
199602,    2.34,    1.87,    1.49,    1.85,    1.50,    2.87,    1.50,    1.15,    2.13,    1.25,    1.85,    3.45,    2.06,    1.46,    1.58,    0.70,    1.54,    2.67,    1.15
199603,    1.65,    0.52,    2.04,    1.31,    0.35,    1.97,    1.40,    1.78,    1.85,    0.19,    0.59,    1.18,    3.06,    0.64,    2.82,    3.04,    0.72,    2.34,    0.93
199604,    2.64,    2.91,    2.12,   -0.26,    2.49,    3.89,    1.86,    0.38,    0.39,    2.54,    2.42,    4.59,    2.94,    2.24,    1.17,    1.96,   -0.98,   -0.06,    1.24
199605,    0.37,    3.61,    1.19,    3.00,    3.87,    1.68,    1.10,    2.77,    2.99,    4.27,    3.32,    2.54,    0.45,    0.81,    1.66,    2.49,    3.01,    2.76,    3.45
199606,   -0.87,   -0.38,   -0.88,    0.06,   -0.15,   -1.44,   -0.36,   -0.65,   -0.22,    0.06,   -0.44,   -1.32,   -1.62,   -0.57,    0.05,   -1.80,    0.37,   -0.43,    0.19
199607,   -9.68,   -6.31,   -4.19,   -4.08,   -6.22,   -5.40,   -4.00,   -3.89,   -5.06,   -6.53,   -5.77,   -6.75,   -4.17,   -3.24,   -4.93,   -4.75,   -3.08,   -4.93,   -5.31
199608,    4.72,    2.50,    4.03,    3.44,    2.23,    3.67,    4.59,    3.33,    3.68,    1.82,    2.79,    3.79,    3.56,    3.96,    5.38,    3.47,    3.20,    3.02,    4.91
199609,    3.02,    6.59,    3.94,    3.25,    7.04,    4.51,    3.28,    3.60,    3.82,    7.23,    6.78,    4.51,    4.51,    4.06,    2.31,    4.60,    2.69,    3.50,    4.41
199610,   -3.13,    0.28,    3.25,    3.45,    0.41,    0.66,    4.07,    4.15,    3.09,   -0.29,    1.40,   -0.31,    1.52,    3.12,    5.26,    4.52,    3.81,    3.88,    1.65
199611,    4.93,    6.77,    7.01,    6.83,    6.72,    6.62,    7.31,    7.63,    6.02,    6.83,    6.56,    7.02,    6.27,    7.98,    6.50,    7.62,    7.64,    5.51,    6.96
199612,    3.18,   -1.53,   -1.04,   -0.05,   -1.81,   -0.16,   -1.44,   -1.15,    0.51,   -1.55,   -2.16,   -0.22,   -0.11,   -1.57,   -1.28,   -1.75,   -0.58,    0.62,    0.30
199701,    1.01,    6.27,    4.57,    4.39,    6.76,    4.70,    4.37,    4.15,    4.08,    7.09,    6.31,    3.93,    5.37,    5.10,    3.47,    3.55,    4.70,    3.36,    5.40
199702,   -0.41,   -0.41,   -0.10,    3.13,   -0.23,   -1.31,   -0.10,    2.51,    3.54,   -0.39,   -0.01,   -1.29,   -1.32,   -0.95,    0.99,    2.27,    2.73,    3.49,    3.63
199703,   -4.49,   -5.56,   -2.62,   -4.47,   -5.90,   -1.77,   -3.72,   -4.90,   -3.92,   -7.32,   -3.89,   -3.89,    0.05,   -3.38,   -4.14,   -4.80,   -5.00,   -3.98,   -3.82
199704,    1.59,    5.92,    3.55,    2.86,    6.69,    2.27,    4.76,    3.92,    0.78,    7.56,    5.50,    2.21,    2.31,    5.66,    3.62,    2.85,    4.90,    1.16,    0.09
199705,   10.31,    7.37,    6.36,    6.29,    7.02,    7.72,    6.45,    5.63,    7.09,    8.17,    5.43,    9.13,    6.56,    7.15,    5.53,    5.73,    5.54,    7.93,    5.50
199706,    2.29,    4.34,    4.12,    4.52,    4.46,    3.05,    5.17,    4.33,    4.98,    4.36,    4.59,    3.77,    2.45,    5.67,    4.51,    4.61,    4.08,    5.30,    4.37
199707,    5.15,    7.60,    8.19,    7.12,    7.29,    8.37,    9.34,    6.41,    6.76,    7.04,    7.72,    8.63,    8.07,    9.05,    9.70,    5.62,    7.58,    7.02,    6.35
199708,    0.10,   -4.88,   -2.88,   -0.84,   -5.67,   -2.24,   -2.99,   -2.42,   -1.33,   -5.84,   -5.38,   -2.29,   -2.19,   -2.93,   -3.05,   -3.95,   -0.22,   -1.56,   -0.98
199709,    5.34,    5.27,    6.23,    6.70,    5.18,    5.61,    6.58,    6.40,    6.92,    4.59,    6.16,    5.57,    5.66,    5.96,    7.35,    6.38,    6.42,    6.22,    7.99
